pk_id	pk_name
1	ДЕПАРТАМЕНТ ТРАНСПОРТА АДМИНИСТРАЦИИ г.о. Самара
2	МП г.о. Самара Пассажиравтотранс
4	ТТУ (ТРАМВАЙ)
5	ТТУ(ТРОЛЛЕЙБУС)
6	ТД1
7	ТД2
8	ТД3
9	АТП5
10	АТП4
11	Менеджмент Прожект
12	Арсенал
13	СамараАвтоГаз
14	Мотор
15	АвтоКонсалт
16	ГазМоторс
18	Билайнер
19	КТД
20	ГТД
21	СТД
22	СамараАвтоЭкспресс
23	Ремикс
24	Рейс
25	Шоссе
26	ООО Рейс
27	ООО Шоссе
28	Городской Экспресс
29	Городской Экспресс-Логистика
30	Городской Экспресс-Автолайн
31	Городской Экспресс-Иштар
32	Тольятти
33	ООО ТК Авто-МИГ
