mr_id	mr_name	pk_id	tt_id
1	1	13	1
10	19	19	3
12	4	6	2
14	38	13	1
15	66	13	1
17	2	13	1
18	3	13	1
19	11	13	1
20	22	13	1
23	24	13	1
24	30	13	1
25	35	13	1
26	37	13	1
27	39	13	1
28	47	13	1
29	215	24	1
30	52	13	1
31	55	13	1
32	76	13	1
33	42	10	1
34	63	13	1
35	45	13	1
36	36	13	1
37	65	13	1
38	75	13	1
39	56	13	1
43	12	13	1
44	21	13	1
45	27	13	1
46	29	13	1
47	34	13	1
48	50	13	1
49	6	13	1
58	10	7	2
59	79	13	1
60	59	13	1
61	59À	13	1
62	7	13	1
63	101ä	10	1
64	51	13	1
65	144	10	1
66	156	10	1
67	145	13	1
68	9	13	1
69	157	10	1
70	8	13	1
71	7	7	2
72	159	10	1
73	78	13	1
74	68	9	1
75	173	10	1
76	150	13	1
77	174	10	1
78	179	9	1
79	180	13	1
80	181	13	1
81	61	13	1
82	185	10	1
83	132	13	1
84	153	13	1
85	154	13	1
86	171	13	1
87	175ê	13	1
88	154ê	9	1
89	126á	13	1
90	126à	9	1
91	146	13	1
92	147	13	1
93	198	13	1
94	182	13	1
95	197	13	1
96	170	13	1
97	8	7	2
98	17	13	1
99	26	13	1
100	32	13	1
101	77	9	1
102	5Ä	13	1
103	4ê	7	2
104	165	10	1
105	48ä	24	1
106	48ê	11	1
107	167	10	1
108	169	10	1
109	168	10	1
110	172	10	1
111	19	8	2
112	70	13	1
113	23	13	1
114	41	13	1
115	12	8	2
116	6	6	2
117	16	6	2
118	18	8	2
119	17	6	2
120	13	8	2
121	15	6	2
122	20	6	2
123	11	19	3
124	12	21	3
125	4	24	1
126	21	19	3
127	20Ê	21	3
129	2	19	3
130	5	20	3
132	1	20	3
133	16	20	3
134	24	21	3
135	3	19	3
136	4	19	3
137	7	21	3
138	8	19	3
139	9	19	3
140	10	19	3
141	13	19	3
142	22	20	3
143	23	20	3
144	25	19	3
145	20	21	3
146	18	20	3
148	46	24	1
149	264	12	1
150	99	24	1
151	15	20	3
152	67	13	1
153	44	23	1
154	21ì	25	1
155	226	25	1
156	205	24	1
157	210	24	1
158	94		1
159	96	24	1
160	207	23	1
161	213	25	1
162	272	25	1
163	279	25	1
164	261	25	1
165	61ä		1
166	295	24	1
167	1ê	24	1
168	283	25	1
169	6êì	25	1
170	37êì	25	1
171	38êì	25	1
172	34ê		1
173	47êì	25	1
174	206	25	1
175	240	25	1
176	24ê	19	3
177	27ê	24	1
178	221	24	1
179	77ä	24	1
180	22ä	12	1
181	32ä	11	1
182	92	24	1
183	229	25	1
184	253	25	1
185	247	25	1
186	1Ó	9	1
187	13	13	1
188	99	8	2
189	132ê	13	1
190	30êì	24	1
191	203	25	1
192	89	24	1
193	97	24	1
194	217	25	1
195	246	24	1
196	297	24	1
197	178	10	1
198	266	24	1
199	53	13	1
200	281	25	1
201	296	25	1
202	268	24	1
207	36Ä	13	1
208	63Ý	13	1
209	27Ê	13	1
210	67Ê	13	1
211	36Þ	13	1
212	77Ä	13	1
213	4Ê	13	1
214	129Ý	13	1
215	21À	10	1
216	70À	13	1
217	11À	9	1
219	1À	25	1
220	66Ê	25	1
221	50Ó	13	1
222	36Ý	10	1
223	77Ý	10	1
225	66À	10	1
226	185Ê	13	1
227	410À	28	1
228	126Þ	28	1
229	126Ñ	28	1
230	492	28	1
231	110	28	1
232	429	28	1
233	101À	28	1
234	474	28	1
235	123	28	1
236	480	24	1
237	104Ê	28	1
238	447	28	1
239	406	28	1
241	113	28	1
242	124	28	1
243	389	28	1
244	140	28	1
245	127	28	1
246	131	28	1
247	140À	28	1
248	128	28	1
249	109ê	28	1
250	141	28	1
252	423À	28	1
253	109	28	1
254	103Ê	28	1
255	118	28	1
256	166	28	1
257	110-1	28	1
258	110-13	28	1
259	110-8	28	1
260	110-3	28	1
261	1êì	24	1
262	401	28	1
263	9	7	2
264	S5	19	3
265	S2k	13	1
266	S4	13	1
267	S2	13	1
268	80	24	1
269	S3	13	1
270	S7	13	1
271	S9	13	1
272	S1	13	1
273	S1k	13	1
274	S8	13	1
275	S5k	13	1
276	199	13	1
277	S1p	13	1
278	6	21	3
279	17	19	3
280	33	13	1
281	43	13	1
282	55À	13	1
286	9ÒË	32	1
287	52ÒË	32	1
288	14	21	3
289	119	28	1
290	392	28	1
291	139	28	1
292	33 òåñò		1
293	105	28	1
294	108	6	2
295	110-5	28	1
301	Ì1	24	1
302	Ì2	24	1
303	Ì3	24	1
304	Ì4	24	1
305	177	28	1
306	6À	6	2
